Goal,Summary/abstract,Site name,Site location,Cruise or expedition,Collection method,Collection date,Chronological details,Environmental setting,Depositional setting,Links to ancilary data,Repository,Storage,Preparation,Sieve mesh size and unit,Mounting medium,Size of coverslip,Counting method,Count magnification,Count marker,Marker details,Taxonomic concept,Lumping explanation,Variant mapping explanation,Highest taxonomic resolution,Unique names,Group specific requirements,Link parallel taxonomies,Link to external ontology,Zero abundances,Unidentified specimens,Indication of completeness,Reworked,Source,Contributor,Institution,Project,Funder,Addition1,Size fraction incl. unit,Specimen state,Sample preservation,Sample mass incl. unit,Dry bulk density incl. unit,Sample_addition,Top and bottom depth incl. unit,Sedimentary unit,Sample ID,Sample age and unit,Raw counts,Raw_explanation,Qualitative classification,Data_addition,Final,Career,Fossil_group,Continent
Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Desired,Desired,Recommended,Recommended,Desired,Desired,Desired,Desired,Desired,Recommended,Essential,Recommended,Essential,Yes,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,NA,NA,NA,NA,NA,NA,NA,Recommended,Essential,Essential,Recommended,Yes,NA,Recommended,NA,NA,ER,Benthic foraminifera,Europe
Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Desired,Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Desired,Desired,Yes,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Benthic foraminifera,Asia
Recommended,Recommended,Recommended,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Yes,Recommended,Essential,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,NA,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Essential,Recommended,Desired,Essential,Yes,NA,Recommended,NA,"To merge data from many laboratories is difficult... If too many requirements are made, this might discourage the potential contributors",ER,Dinocysts,North America
Recommended,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Desired,Recommended,Recommended,Desired,Desired,Recommended,Recommended,Desired,Recommended,Desired,Recommended,Essential,Recommended,Essential,Recommended,Yes,Essential,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Desired,Mandatory sample IDs (beyond mere depths or age data),Essential,Recommended,Recommended,Desired,Desired,NA,Essential,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ECR,Other,South America
Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Essential,Recommended,Recommended,Desired,Desired,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Yes,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,NA,Essential,Desired,Desired,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Dinocysts,Europe
Desired,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Desired,Desired,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,NA,Essential,Essential,Essential,Essential,Desired,NA,Essential,Desired,Essential,Essential,Yes,NA,Desired,NA,NA,ER,Coccolithophores,Europe
Recommended,Desired,Recommended,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Desired,Essential,Essential,Recommended,Recommended,Recommended,Desired,Desired,Desired,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Desired,Desired,Desired,"Provide a link to data that may have been in parallel to the counts (e. g., stable isotopes)",Essential,Essential,Essential,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,Europe
Recommended,Desired,Desired,Essential,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Recommended,Recommended,Essential,Essential,Essential,NA,Recommended,Desired,Essential,Recommended,Essential,Essential,Recommended,Yes,Recommended,NA,NA,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Desired,Desired,Desired,Desired,"The inclusion of zeros can sometimes increase tremendously the size of the datasets. It would be nice if there is a standardised way to include the information of zeros to the metadata. In this sense, making clear which taxonomic school was used might be essential. 

Would information like amount (mass) of sediment sampled and number of splits before counting be part of sampling methodology?",Essential,Recommended,Recommended,Recommended,Recommended,"Number of splits used to count would be Recommended.

About the questionnaire: it is a bit confusing that the 3 options to choose are “desired”, “recommended” & “essential” but then in the questions that require written answer the choices are “optional”, “desired”, “essential”.",Essential,NA,Essential,Recommended,Yes,NA,Essential,Total count should be essential data,NA,ECR,Planktonic foraminifera,Europe
Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Yes,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Recommended,NA,Recommended,Recommended,Desired,NA,Desired,Desired,Desired,Desired,No,NA,Desired,NA,NA,ER,Diatoms,Europe
Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Essential,Recommended,Essential,NA,NA,Essential,Essential,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Desired,NA,NA,ER,Coccolithophores,Europe
Recommended,Recommended,Essential,Essential,Recommended,Essential,Desired,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Essential,NA,Recommended,Yes,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Recommended,Desired,Unidetified species could be associated with images (when possible),Essential,Recommended,Recommended,Essential,Essential,"Sampling processing protocols. For example, in the case of diatoms the use of the centrifuge during sample processing could lead to fragmentation of the valves.",Essential,Recommended,Desired,Essential,Yes,NA,Recommended,NA,NA,ER,Diatoms,Europe
Recommended,Essential,Essential,Essential,Essential,Essential,Desired,Essential,Recommended,Recommended,Recommended,Desired,Essential,Recommended,Essential,Recommended,Desired,Recommended,Essential,Essential,Recommended,Essential,Essential,Recommended,Yes,Essential,Essential,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Recommended,Essential,Essential,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Coccolithophores,Europe
Desired,Essential,Essential,Essential,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,NA,Essential,Essential,Essential,Essential,Recommended,NA,Recommended,Recommended,Essential,Recommended,Yes,NA,Essential,NA,NA,ER,Planktonic foraminifera,Asia
Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Desired,Recommended,Desired,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Desired,Desired,Desired,Recommended,Recommended,Desired,Yes,Desired,Desired,Recommended,Desired,Desired,Desired,Desired,Recommended,Essential,Essential,Essential,Desired,Desired,NA,Recommended,Recommended,Recommended,Desired,Desired,NA,Essential,Recommended,Recommended,Recommended,Yes,NA,Recommended,NA,NA,ER,Benthic foraminifera,Asia
Essential,Essential,Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Desired,Desired,Desired,Desired,Essential,Essential,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Recommended,Recommended,Essential,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Essential,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ECR,Benthic foraminifera,Asia
Recommended,Recommended,Essential,Essential,Recommended,Recommended,Desired,Recommended,Recommended,Recommended,Desired,Recommended,Desired,Essential,Recommended,Recommended,Recommended,Recommended,Essential,Recommended,Essential,Essential,Recommended,Recommended,Yes,Desired,Essential,Recommended,Desired,Recommended,Essential,Essential,Recommended,Essential,Essential,Desired,Desired,Desired,NA,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Desired,Recommended,Essential,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,Asia
Desired,Desired,Recommended,Essential,Desired,Recommended,NA,Essential,Desired,Desired,Recommended,Recommended,Desired,Essential,Essential,NA,NA,Essential,NA,NA,Recommended,Recommended,Essential,Essential,Yes,Desired,NA,NA,Essential,Desired,Recommended,Recommended,Essential,Essential,Essential,Recommended,Desired,Desired,NA,Essential,Desired,Essential,Essential,Desired,NA,Desired,Desired,Desired,Essential,Yes,NA,Recommended,NA,NA,ER,Planktonic foraminifera,Asia
Essential,Recommended,Essential,Essential,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Recommended,Recommended,Essential,Essential,Essential,Desired,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Yes,Essential,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Recommended,Essential,Desired,Desired,Desired,NA,Recommended,Essential,Essential,Recommended,Recommended,NA,Essential,Recommended,Desired,Essential,Yes,NA,Essential,NA,NA,ER,Coccolithophores,Asia
Essential,Recommended,Essential,Essential,Recommended,Essential,Recommended,Essential,Recommended,Recommended,Essential,Essential,Essential,Recommended,Essential,Desired,Desired,Essential,Essential,Essential,Desired,Desired,Desired,Recommended,No,Desired,Desired,Desired,Desired,Desired,Desired,Recommended,Desired,Essential,Essential,Essential,Desired,Desired,NA,Recommended,Recommended,Recommended,Recommended,Recommended,NA,Essential,Recommended,Recommended,Recommended,Yes,NA,Essential,NA,NA,ER,Coccolithophores,Asia
Recommended,Recommended,Essential,Essential,Essential,Essential,Essential,Essential,Recommended,Recommended,Essential,Essential,Essential,Essential,NA,Essential,NA,Essential,Essential,Essential,Recommended,Essential,Essential,Essential,Yes,Essential,Essential,Essential,Desired,Desired,Essential,NA,Desired,Essential,Essential,Essential,Desired,Desired,NA,NA,NA,Recommended,Recommended,Recommended,NA,Essential,Essential,Essential,Essential,Yes,NA,Essential,NA,NA,ER,Diatoms,Europe
